Topic,Variation_Type,Question,Bot_Answer,Response_Time_ms
In Hand Obstacle Disqualification,Scenario,"If I carry a crop in the in-hand obstacle class, will I be disqualified?",I cannot find a specific rule addressing this in the current rulebook context.,3825.45
Small Pony Height Limit,Standard,How tall is a small pony?,"Small ponies are not to exceed 12.2 hands. HU 141, 3a.",6285.74
Small Pony Height Limit,Casual,Max height for a small pony?,I cannot find a specific rule addressing this in the current rulebook context.,4621.9
Small Pony Height Limit,Formal,What is the measurement limit for a pony to be classified as 'Small' under HU 141?,"Small ponies are not to exceed 12.2 hands. HU 141, 3a.",5823.73
Small Pony Height Limit,Scenario,"My pony is 12.3 hands, is it a small pony?","Small ponies are not to exceed 12.2 hands. HU 141, 3a.",5375.92
Hunt Seat Regionals Qualification,Standard,How many points do hunt seat riders need to qualify for regionals?,Riders are eligible to compete in the Regional Show upon acquiring 28/36 points in a class. See Rule 7207. (Rule 7401),1538.83
Hunt Seat Regionals Qualification,Casual,Points needed for regionals in hunt seat?,Riders are eligible to compete in the Regional Show upon acquiring 28/36 points in a class. See Rule 7207. (Rule 7401),9034.66
Hunt Seat Regionals Qualification,Formal,Cite the point accumulation requirements for qualifying for Hunt Seat Regionals.,Riders are eligible to compete in the Regional Show upon acquiring 28/36 points in a class. See Rule 7207. (7401),5470.18
Hunt Seat Regionals Qualification,Specific,Do Class 7 and 8 riders need 36 points or 28 points for Regionals?,"Riders in Classes 7 and 8 will start each year with zero points and must acquire 28 to qualify for Regionals. In the event of a disparity in the number of shows held within a region and no rider qualifies in these classes, the number of points may be lowered to qualify the next highest rider(s) with a minimum of 21 and with the permission of the National Steward. (Rule 7207)",7481.88
Standing Martingales,Standard,Are standing martingales allowed in hunter divisions?,Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,4751.3
Standing Martingales,Casual,Can I use a standing martingale in hunters?,Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,5362.79
Standing Martingales,Formal,What are the restrictions on martingale use in over fences classes?,"Martingales are prohibited in all classes on the flat but are permitted in classes over fences. Running martingales, standing martingales, or tiedowns are permitted. (APPOINTMENTS OF RIDER (ENGLISH HUNTER SEAT))

All horses to be used in over fences classes must be schooled over the courses prior to the show. (4309)",6988.47
Standing Martingales,Scenario,Is a running martingale allowed if used in the conventional manner?,"Running martingales, standing martingales, or tiedowns are permitted. Bell boots, shin boots, and skid boots are permitted; however, polo wraps are not permitted because of the danger they would pose if they came undone. If split reins are used, they must be tied or fastened together. A single rein is recommended. APPOINTMENTS OF HORSE (ENGLISH)— Snaffles—with or without dropped nosebands, pelhams, kimberwicks and full bridles—are acceptable. A running martingale is permitted, as are standing martingales or tiedowns. McClellan or similar saddles are considered western when western bridles are used and English when English bridles are used. Any other type of English saddle is acceptable.",5936.96
Hunt Seat Coach Eligibility,Standard,Who can be a hunt seat coach?,Hunter Seat coaches must be a member of the USHJA. All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,4375.4
Hunt Seat Coach Eligibility,Casual,Qualifications for hunt seat coaches?,Hunter Seat coaches must be a member of the USHJA. All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,7201.33
Hunt Seat Coach Eligibility,Formal,What are the membership and certification requirements for a Hunt Seat coach?,Hunter Seat coaches must be a member of the USHJA. All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,4092.38
Hunt Seat Coach Eligibility,Scenario,Can a professional rider be our hunt seat coach without other memberships?,Hunter Seat coaches must be a member of the USHJA. All IHSA coaches must be an IHSA member (see Rule 1102.G).,5710.4
Coach Insurance,Standard,Do I need insurance to be a coach?,All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,4831.94
Coach Insurance,Casual,Is insurance required for coaches?,All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,5611.12
Coach Insurance,Formal,Does the IHSA require coaches to hold personal liability insurance?,Yes. All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,4082.92
Coach Insurance,Scenario,"I don't have personal insurance, can I still coach?",All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year.,5238.64
Head Coach Requirements,Standard,What are the requirements for a head coach?,"All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year. Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region. It must include a membership fee of $40.00 $45.00, and payment must be received by the National Treasurer. Proof of safe sport education must be provided for coaches who are not employed by the college for which they coach to the regional president prior to the first competition date of each academic year.",7138.34
Head Coach Requirements,Casual,Head coach rules?,"All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year. Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region. It must include a membership fee of $40.00 $45.00, and payment must be received by the National Treasurer. A coach’s IHSA membership at another level, except for an Alumni membership, would qualify as a Coach membership fee. Proof of safe sport education must be provided for coaches who are not employed by the college for which they coach to the regional president prior to the first competition date of each academic year.",5233.27
Head Coach Requirements,Formal,Detail the responsibilities and requirements for an IHSA Head Coach.,"All undergraduate riders must have an IHSA Coach present at the competition. Hunter Seat coaches must be a member of the USHJA. All IHSA coaches must be at least 21 years old. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. All IHSA coaches must be an IHSA member (see Rule 1102.G). All IHSA coaches must carry professional liability insurance coverage for coaching activities at IHSA events or show a college/university Certificate of Insurance or be a College or University employee. Proof of professional liability insurance must be provided to the Regional President prior to the first competition date of each academic year. If the coach on record cannot attend a show date, written consent in the form of faxed or scanned/emailed letter from the Designated College Representative approving the substitute coach shall be sent to the Regional President prior to the competition date (the substitute coach must follow the requirements outlined in A, B, C and D and E). Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region. Proof of safe sport education must be provided for coaches who are not employed by the college for which they coach to the regional president prior to the first competition date of each academic year. Proof of concussion awareness education must be provided to the regional president prior to the first competition date of each academic year. An individual whose name appears on any suspension or banned list of Safe Sport will be ineligible to participate in IHSA sanctioned activities.",4830.36
Head Coach Requirements,Scenario,Can an undergraduate student be the Head Coach?,All IHSA coaches must be at least 21 years old. (Rule 1102.A),4592.15
Multiple Coaches,Standard,Can a college have multiple coaches?,I cannot find a specific rule addressing this in the current rulebook context.,5409.19
Multiple Coaches,Casual,Is it okay to have more than one coach?,I cannot find a specific rule addressing this in the current rulebook context.,4145.67
Multiple Coaches,Formal,Does the rulebook permit a single institution to designate multiple coaches?,I cannot find a specific rule addressing this in the current rulebook context.,4888.3
Multiple Coaches,Scenario,"We want to have a jumping coach and a flat coach, is that allowed?",I cannot find a specific rule addressing this in the current rulebook context.,4685.34
Substituting a Coach,Standard,Can I substitute a coach for a show?,"If the coach on record cannot attend a show date, written consent in the form of faxed or scanned/emailed letter from the Designated College Representative approving the substitute coach shall be sent to the Regional President prior to the competition date (the substitute coach must follow the requirements outlined in A, B, C and D and E).",6020.26
Substituting a Coach,Casual,What if our coach can't make it to the show?,"If the coach on record cannot attend a show date, written consent in the form of faxed or scanned/emailed letter from the Designated College Representative approving the substitute coach shall be sent to the Regional President prior to the competition date. The substitute coach must follow the requirements outlined in A, B, C, D, and E.",4724.85
Substituting a Coach,Formal,What is the procedure for appointing a substitute coach according to the rules?,"If the coach on record cannot attend a show date, written consent in the form of faxed or scanned/emailed letter from the Designated College Representative approving the substitute coach shall be sent to the Regional President prior to the competition date (the substitute coach must follow the requirements outlined in A, B, C and D and E).",6746.0
Substituting a Coach,Scenario,"Our coach is sick, can we bring a sub?","If the coach on record cannot attend a show date, written consent in the form of faxed or scanned/emailed letter from the Designated College Representative approving the substitute coach shall be sent to the Regional President prior to the competition date. The substitute coach must follow the requirements outlined in A, B, C, D, and E.",3722.92
Coach Membership Deadline,Standard,What is the deadline for coach membership?,"Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region.",5824.65
Coach Membership Deadline,Casual,When do coaches need to register by?,"Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region.",3975.87
Coach Membership Deadline,Formal,State the deadline for submitting coach membership forms.,"Annually, prior to their first competition, an eligible Head coach must apply for membership on the official IHSA Coach Membership form. The application must be signed by the individual Head coach and must be filed with the President College of the Region.",5809.1
Coach Membership Deadline,Scenario,"If I join in February, can I still coach for the spring season?",I cannot find a specific rule addressing this in the current rulebook context.,5198.06
Liability Waiver,Standard,Do coaches need to sign a liability waiver?,Yes. All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver.,3499.24
Liability Waiver,Casual,Is there a waiver for coaches?,All IHSA coaches must pass the online IHSA Coach Rules Test and sign the IHSA liability waiver. (Rule 1102.B),6876.09
Liability Waiver,Formal,Is the execution of a liability waiver a mandatory prerequisite for coaching?,"The Designated Representative and Team Coach affirm they have collected waivers from each participant, where the club member, participant, or rider agrees to defend and hold the IHSA, its directors, officials, employees and all persons, stables or other entities providing facilities, horses or equipment for the Show, harmless for any claim, action or suit, for injury, property damage or death sustained during participation in the show by the entity, his or her coach, trainer or visitors as permitted by prevailing law.

Furthermore, Designated Representative and Team Coach affirm the waivers provided by the club members, participants and riders include an acknowledgement that competing in an IHSA event and/or show may result in substantial and serious injury, including, but not limited to, maiming, paralysis, and/or death; that all of the foregoing persons openly and freely accept all of the potential risks associated with participation in an IHSA event and/or show.

In addition, Designated Representative and Team Coach affirm the waivers provided by the club members, participants and riders include a provision whereby the club members, participants and riders agree to waive, release, and hold harmless the IHSA, and/or any members, agent, and/or affiliates of the IHSA, from any and all actions, causes of action, suits, debts, promises, damages, judgments, claims, and/or demands whatsoever, in law and/or equity, as well as agree to defend and indemnify the IHSA, its members, agents, and/or affiliates, from any threatened and/or actual liability as permitted by prevailing law.",5711.87
Liability Waiver,Scenario,"I refused to sign the waiver, can I enter the ring?","The Designated Representative and Team Coach affirm they have collected waivers from each participant, where the club member, participant, or rider agrees to defend and hold the IHSA, its directors, officials, employees and all persons, stables or other entities providing facilities, horses or equipment for the Show, harmless for any claim, action or suit, for injury, property damage or death sustained during participation in the show by the entity, his or her coach, trainer or visitors as permitted by prevailing law. In addition, Designated Representative and Team Coach affirm the waivers provided by the club members, participants and riders include a provision whereby the club members, participants and riders agree to waive, release, and hold harmless the IHSA, and/or any members, agent, and/or affiliates of the IHSA, from any and all actions, causes of action, suits, debts, promises, damages, judgments, claims, and/or demands whatsoever, in law and/or equity, as well as agree to defend and indemnify the IHSA, its members, agents, and/or affiliates, from any threatened and/or actual liability as permitted by prevailing law. Furthermore, Designated Representative and Team Coach affirm the waivers provided by the club members, participants and riders include an acknowledgement that competing in an IHSA event and/or show may result in substantial and serious injury, including, but not limited to, maiming, paralysis, and/or death; that all of the foregoing persons openly and freely accept all of the potential risks associated with participation in an IHSA event and/or show. 

Without signing the waiver, you are not allowed to enter the ring as the waiver is a requirement for participation in the show.",5421.15
USHJA Membership,Standard,Is USHJA membership required for coaches?,"The IHSA college membership application must include the USHJA number for Hunter Seat coaches. (Rule 1105, A.)",2683.26
USHJA Membership,Casual,Do coaches need to join USHJA?,Hunter Seat coaches must be a member of the USHJA.,4257.59
USHJA Membership,Formal,Is current membership with the USHJA mandatory for Hunt Seat coaches?,"The IHSA college membership application must include the USHJA number for Hunter Seat coaches. (Rule 1105, A.)",5459.44
USHJA Membership,Scenario,"I am an AQHA member, do I still need USHJA for hunt seat?",I cannot find a specific rule addressing this in the current rulebook context.,5660.87
Point Rider Rule,Standard,What is the rule for point riders?,"Point riders in Hunter Seat may be selected from any section of Classes 1-8. Point riders in Western teams will be selected from any section of classes 11-17. Only one rider may be selected from each class (A or B in classes 2 or 12). Point riders must be registered with the score keeper or secretary and an official point rider card must be received prior to the first draw. In the event of a discrepancy on the point card, the rider’s name will take precedence. Teams who fail to register point riders prior to the first draw shall have the first 8 eligible riders for Hunter Seat and the first 7 Western eligible riders listed in the program in the class list designated by the show as point riders.",5214.97
Point Rider Rule,Casual,How do point riders work?,"Each College will designate a maximum of 8 Hunter Seat riders and 7 Western riders, one from each class, to compete for points toward the Team Championship. Champion and Reserve Hunter Seat and Western teams shall be determined by totaling the scores of the top 7 of the 8 Hunter Seat and top 6 of the 7 Western designated point riders from each team. Point riders in Hunter Seat may be selected from any section of Classes 1-8. (Rule 7302)",5217.86
Point Rider Rule,Formal,Explain the regulations governing the designation of Point Riders.,"Point riders in Hunter Seat may be selected from any section of Classes 1-8. Point riders in Western teams will be selected from any section of classes 11-17. Only one rider may be selected from each class (A or B in classes 2 or 12). Point riders must be registered with the score keeper or secretary and an official point rider card must be received prior to the first draw. In the event of a discrepancy on the point card, the rider’s name will take precedence. Teams who fail to register point riders prior to the first draw shall have the first 8 eligible riders for Hunter Seat and the first 7 Western eligible riders listed in the program in the class list designated by the show as point riders.",5709.49
Point Rider Rule,Scenario,Can I change my point rider after the show starts?,I cannot find a specific rule addressing this in the current rulebook context.,5306.58
Martingale Flat Classes,Standard,Can I use a martingale in flat classes?,Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,6328.82
Martingale Flat Classes,Casual,Are martingales allowed on the flat?,Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,4723.15
Martingale Flat Classes,Formal,Is the use of any martingale permitted in under saddle classes?,Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,6047.67
Martingale Flat Classes,Scenario,"My horse needs a martingale for safety, can I use it in the flat class?",Martingales are prohibited in all classes on the flat but are permitted in classes over fences.,5866.86
Flash Nosebands,Standard,Are flash nosebands allowed?,I cannot find a specific rule addressing this in the current rulebook context.,5078.47
Flash Nosebands,Casual,Can I use a flash noseband?,I cannot find a specific rule addressing this in the current rulebook context.,6162.77
Flash Nosebands,Formal,Does the rulebook permit the use of flash nosebands in diverse classes?,I cannot find a specific rule addressing this in the current rulebook context.,5392.61
Flash Nosebands,Scenario,"I have a flash attachment on my bridle, is that legal?",I cannot find a specific rule addressing this in the current rulebook context.,6018.82
Rider Fall,Standard,What happens if a rider falls off?,"In case of a fall by horse or rider, the competitor will not be eliminated. They will be penalized according to the fall’s effect on the movement being executed. The rider will also be penalized in the collective marks. If a fall occurs during a ride-off, the contestant will be placed last of all those chosen for the ride-off. In the event of a fall where the Stewards determine a re-ride is granted, if Rules 4401.1, 4401.2 & 4401.3 do not apply, the rider is precluded from competing until evaluated by qualified medical personnel as defined in 5102.B.5. If a rider is apparently unconscious or concussed, they are precluded from competing until evaluated by qualified medical personnel. If the rider refuses to be evaluated, they are disqualified from the competition. If qualified medical personnel determines that a rider has sustained unconsciousness or a concussion, the rider must be precluded from competing until cleared to compete. In order to return to competition, the rider shall submit a signed letter, completed by a licensed medical professional, stating that the rider is cleared to compete. The letter shall be submitted to the Team Coach, with a copy to the Regional President, in order to compete in the IHSA.",10919.26
Rider Fall,Casual,Penalty for falling off?,"A competitor is considered to have fallen when they are separated from the horse in such a way as to necessitate remounting or vaulting into the saddle. A horse is considered to have fallen when, at the same time, its shoulder and hip on the same side have touched either the ground or an obstacle and the ground. A fall by horse or exhibitor may be penalized at the judge’s discretion in the temperament or movement category.",2790.83
Rider Fall,Formal,What is the consequence of a rider's fall during the competition?,"In case of a fall by horse or rider, the competitor will not be eliminated. They will be penalized according to the fall’s effect on the movement being executed. The rider will also be penalized in the collective marks. If a fall occurs during a ride-off, the contestant will be placed last of all those chosen for the ride-off. If the fall results in unconsciousness or concussion, the rider is precluded from competing until evaluated by qualified medical personnel. If the rider refuses to be evaluated, they are disqualified from the competition. If qualified medical personnel determines that a rider has sustained unconsciousness or a concussion, the rider must be precluded from competing until cleared to compete. In order to return to competition, the rider shall submit a signed letter, completed by a licensed medical professional, stating that the rider is cleared to compete. The letter shall be submitted to the Team Coach, with a copy to the Regional President, in order to compete in the IHSA. The fall/accident that results in unconsciousness or concussion shall be reported on the IHSA accident report and forwarded to the Regional President, National Steward, Zone Chair, and the Insurance Chair. (Rule 5102.5)",6452.16
Rider Fall,Scenario,"If I fall off but get back on, can I finish my round?","The fall of a horse or rider will eliminate the contestant. If such a fall (or three disobediences) occurs during a ride-off, the contestant will be placed last of all those chosen for the ride-off. (Rule 4)",4111.87
Re-ride Lame Horse,Standard,Can I re-ride if my horse is lame?,"Judges will examine and check all horses brought into any class for lameness. This is essential. Obvious lameness shall be cause for disqualification. Obvious lameness is: • Consistently observable at a trot under all circumstances. • Marked nodding, hitching, or shortened stride. • Minimal weight-bearing in motion or at rest; inability to move. (Rule 22)",6741.66
Re-ride Lame Horse,Casual,Do I get a re-ride for a lame horse?,"Judges will examine and check all horses brought into any class for lameness. This is essential. Obvious lameness shall be cause for disqualification. Obvious lameness is: • Consistently observable at a trot under all circumstances. • Marked nodding, hitching, or shortened stride. • Minimal weight-bearing in motion or at rest; inability to move. (Equipment Breakdowns, Animal Lameness & Falls, 22.)",4610.56
Re-ride Lame Horse,Formal,Under what conditions is a re-ride granted for equine lameness?,"A re-ride must be requested prior to the lineup in a flat class or the last horse leaves the ring in an over fences class. Only the coach of the rider involved may request a re-ride. A judge may request a re-ride by consulting with show stewards. If the stewards grant the re-ride request, they will notify the rider’s coach. Although they may confer with show management and the judge, only the show stewards may grant or deny a re-ride. If a re-ride is granted, it shall be judged as if the first ride never occurred. If a re-ride is granted in a class in which riders compete individually, the re-ride shall take place after all other rides in that class have been completed.",8131.36
Re-ride Lame Horse,Scenario,"My horse felt off at the trot, can I ask for a re-ride?","A re-ride must be requested prior to the lineup in a flat class or the last horse leaves the ring in an over fences class. Only the coach of the rider involved may request a re-ride. A judge may request a re-ride by consulting with show stewards. If the stewards grant the re-ride request, they will notify the rider’s coach. Although they may confer with show management and the judge, only the show stewards may grant or deny a re-ride. If a re-ride is granted, it shall be judged as if the first ride never occurred. If a re-ride is granted in a class in which riders compete individually, the re-ride shall take place after all other rides in that class have been completed. (Rules 4602-4606)",3845.57
